Time;Channel A;Channel B
-13,27995080;0,78539383;4,96704006
-13,25947080;0,74159980;4,96704006
-13,23899080;0,78539383;4,96704006
-13,21851080;0,74159980;4,96704006
-13,19803080;0,74159980;4,96704006
-13,17755080;0,74159980;
-13,15707080;0,74159980;4,96704006
-13,13659080;0,74159980;4,96704006
-13,11611080;0,74159980;4,96704006
-13,09563080;0,69780570;4,96704006
-13,07515080;0,69780570;4,96704006
-13,05467080;0,65416425;4,96704006
-13,03419080;0,65416425;4,96704006
-13,01371080;0,65416425;4,92309332
-12,99323080;0,65416425;4,96704006
-12,97275080;0,65416425;4,96704006
-12,95227080;0,65416425;4,96704006
-12,93179080;0,61037016;4,96704006
-12,91131080;0,61037016;4,96704006
-12,89083080;0,61037016;4,96704006
-12,87035080;0,61037016;4,96704006
-12,84987080;0,61037016;
-12,82939080;0,61037016;
-12,80891080;0,56657612;4,96704006
-12,78843080;0,56657612;
-12,76795080;0,56657612;4,92309332
-12,74747080;0,56657612;4,96704006
-12,72699080;0,56657612;4,96704006
-12,70651080;0,56657612;4,96704006
-12,68603080;0,52293468;4,96704006
-12,66555080;0,52293468;4,96704006
-12,64507080;0,52293468;4,92309332
-12,62459080;0,52293468;4,92309332
-12,60411080;0,47914061;1,05471969
-12,58363080;0,47914061;-0,00015259
-12,56315080;0,47914061;-0,00015259
-12,54267080;0,47914061;-0,00015259
-12,52219080;0,47914061;-0,00015259
-12,50171080;0,47914061;-0,00015259
-12,48123080;0,43534654;-0,00015259
-12,46075080;0,43534654;-0,00015259
-12,44027080;0,43534654;-0,00015259
-12,41979080;0,43534654;-0,00015259
-12,39931080;0,43534654;-0,00015259
-12,37883080;0,39170507;-0,00015259
-12,35835080;0,39170507;-0,00015259
-12,33787080;0,39170507;-0,00015259
-12,31739080;0,39170507;-0,00015259
-12,29691080;0,39170507;-0,00015259
-12,27643080;0,39170507;-0,00015259
-12,25595080;0,39170507;-0,00015259
-12,23547080;0,34791100;-0,00015259
-12,21499080;0,34791100;-0,00015259
-12,19451080;0,30411693;-0,00015259
-12,17403080;0,30411693;-0,00015259
-12,15355080;0,30411693;-0,00015259
-12,13307080;0,30411693;-0,00015259
-12,11259080;0,30411693;-0,00015259
-12,09211080;0,30411693;-0,00015259
-12,07163080;0,26047549;-0,00015259
-12,05115080;0,30411693;-0,00015259
-12,03067080;0,26047549;-0,00015259
-12,01019080;0,26047549;-0,00015259
-11,98971080;0,26047549;-0,00015259
-11,96923080;0,26047549;-0,00015259
-11,94875080;0,26047549;-0,00015259
-11,92827080;0,21668142;-0,00015259
-11,90779080;0,21668142;-0,00015259
-11,88731080;0,21668142;-0,00015259
-11,86683080;0,21668142;-0,00015259
-11,84635080;0,21668142;-0,00015259
-11,82587080;0,21668142;-0,00015259
-11,80539080;0,21668142;-0,00015259
-11,78491080;0,17288736;-0,00015259
-11,76443080;0,17288736;-0,00015259
-11,74395080;0,17288736;-0,00015259
-11,72347081;0,17288736;-0,00015259
-11,70299081;0,12924589;-0,00015259
-11,68251081;0,12924589;-0,00015259
-11,66203081;0,12924589;-0,00015259
-11,64155081;0,12924589;-0,00015259
-11,62107081;0,12924589;-0,00015259
-11,60059081;0,08560442;-0,00015259
-11,58011081;0,08560442;-0,00015259
-11,55963081;0,08560442;-0,00015259
-11,53915081;0,08560442;-0,00015259
-11,51867081;0,08560442;-0,00015259
-11,49819081;0,04181036;-0,00015259
-11,47771081;0,04181036;-0,00015259
-11,45723081;0,04181036;-0,00015259
-11,43675081;0,04181036;-0,00015259
-11,41627081;-0,00198370;-0,00015259
-11,39579081;0,04181036;-0,00015259
-11,37531081;0,04181036;-0,00015259
-11,35483081;-0,00198370;-0,00015259
-11,33435081;-0,00198370;-0,00015259
-11,31387081;-0,00198370;-0,00015259
-11,29339081;-0,00198370;-0,00015259
-11,27291081;-0,00198370;-0,00015259
-11,25243081;-0,00198370;-0,00015259
-11,23195081;0,04181036;-0,00015259
-11,21147081;0,04181036;-0,00015259
-11,19099081;0,04181036;-0,00015259
-11,17051081;0,04181036;-0,00015259
-11,15003081;0,04181036;-0,00015259
-11,12955081;0,04181036;-0,00015259
-11,10907081;0,08560442;-0,00015259
-11,08859081;0,08560442;-0,00015259
-11,06811081;0,08560442;-0,00015259
-11,04763081;0,08560442;-0,00015259
-11,02715081;0,08560442;-0,00015259
-11,00667081;0,12924589;-0,00015259
-10,98619081;0,12924589;-0,00015259
-10,96571081;0,12924589;-0,00015259
-10,94523081;0,12924589;-0,00015259
-10,92475081;0,12924589;-0,00015259
-10,90427081;0,17288736;-0,00015259
-10,88379081;0,17288736;-0,00015259
-10,86331081;0,12924589;-0,00015259
-10,84283081;0,17288736;-0,00015259
-10,82235081;0,17288736;-0,00015259
-10,80187081;0,21668142;-0,00015259
-10,78139081;0,21668142;-0,00015259
-10,76091081;0,21668142;-0,00015259
-10,74043081;0,21668142;-0,00015259
-10,71995081;0,21668142;-0,00015259
-10,69947081;0,21668142;-0,00015259
-10,67899081;0,26047549;-0,00015259
-10,65851081;0,26047549;-0,00015259
-10,63803081;0,26047549;-0,00015259
-10,61755081;0,26047549;-0,00015259
-10,59707081;0,26047549;-0,00015259
-10,57659081;0,26047549;-0,00015259
-10,55611081;0,30411693;-0,00015259
-10,53563081;0,30411693;-0,00015259
-10,51515081;0,30411693;-0,00015259
-10,49467081;0,30411693;-0,00015259
-10,47419081;0,30411693;-0,00015259
-10,45371081;0,34791100;-0,00015259
-10,43323081;0,34791100;-0,00015259
-10,41275081;0,34791100;-0,00015259
-10,39227081;0,34791100;-0,00015259
-10,37179081;0,34791100;-0,00015259
-10,35131081;0,34791100;-0,00015259
-10,33083081;0,39170507;-0,00015259
-10,31035081;0,39170507;-0,00015259
-10,28987081;0,39170507;-0,00015259
-10,26939081;0,39170507;-0,00015259
-10,24891081;0,43534654;-0,00015259
-10,22843081;0,43534654;-0,00015259
-10,20795081;0,43534654;-0,00015259
-10,18747081;0,43534654;-0,00015259
-10,16699081;0,43534654;-0,00015259
-10,14651081;0,43534654;-0,00015259
-10,12603081;0,47914061;-0,00015259
-10,10555081;0,47914061;-0,00015259
-10,08507081;0,47914061;-0,00015259
