Temps;Canal A;Canal B
(ms);(V);(V)

-33,45880590;0,65981020;3,21543000
-33,41784590;0,61571090;3,03659200
-33,37688590;0,61571090;3,03659200
-33,33592590;0,61571090;2,94717200
-33,29496590;0,57161170;2,85775300
-33,25400590;0,57161170;2,85775300
-33,21304590;0,52751240;2,67891500
-33,17208590;0,52751240;2,67891500
-33,13112590;0,52751240;2,58949500
-33,09016590;0,48341320;2,41065700
-33,04920590;0,48341320;2,41065700
-33,00824590;0,48341320;2,32093300
-32,96728590;0,43931390;2,23151400
-32,92632590;0,39521470;2,14209400
-32,88536590;0,39521470;2,05267500
-32,84440590;0,39521470;1,96325600
-32,80344590;0,39521470;1,87383700
-32,76248590;0,39521470;1,78441700
-32,72152590;0,35111550;1,78441700
-32,68056590;0,35111550;1,69499800
-32,63960590;0,35111550;1,60557900
-32,59864590;0,30701620;1,51616000
-32,55768590;0,26291700;1,42674000
-32,51672590;0,26291700;1,33701600
-32,47576590;0,26291700;1,24759700
-32,43480590;0,21881770;1,15817700
-32,39384590;0,21881770;1,15817700
-32,35288590;0,21881770;1,06875800
-32,31192590;0,21881770;0,88991980
-32,27096590;0,17471850;0,88991980
-32,23000591;0,13061920;0,80050050
-32,18904591;0,17471850;0,71108130
-32,14808591;0,13061920;0,62166200
-32,10712591;0,13061920;0,53224280
-32,06616591;0,08651997;0,44282360
-32,02520591;0,04242073;0,44282360
-31,98424591;0,04242073;0,35340430
-31,94328591;0,04242073;0,17456590
-31,90232591;0,04242073;0,17456590
-31,86136591;0,04242073;0,08514664
-31,82040591;-0,00167852;-0,00427259
-31,77944591;-0,00167852;-0,00427259
-31,73848591;0,04242073;0,08514664
-31,69752591;0,04242073;0,17456590
-31,65656591;0,04242073;0,26398510
-31,61560591;0,08651997;0,35340430
-31,57464591;0,08651997;0,53224280
-31,53368591;0,08651997;0,53224280
-31,49272591;0,13061920;0,62166200
-31,45176591;0,13061920;0,71108130
-31,41080591;0,13061920;0,80050050
-31,36984591;0,17471850;0,80050050
-31,32888591;0,17471850;0,88991980
-31,28792591;0,21881770;0,97933890
-31,24696591;0,21881770;1,15817700
-31,20600591;0,21881770;1,24759700
-31,16504591;0,26291700;1,24759700
-31,12408591;0,26291700;1,33701600
-31,08312591;0,30701620;1,42674000
-31,04216591;0,30701620;1,51616000
-31,00120591;0,30701620;1,60557900
-30,96024591;0,35111550;1,60557900
-30,91928591;0,35111550;1,69499800
-30,87832591;0,35111550;1,78441700
-30,83736591;0,39521470;1,87383700
-30,79640591;0,39521470;1,96325600
-30,75544591;0,39521470;2,05267500
-30,71448591;0,39521470;2,14209400
-30,67352591;0,43931390;2,23151400
-30,63256591;0,48341320;2,32093300
-30,59160592;0,48341320;2,32093300
-30,55064592;0,52751240;2,50007600
-30,50968592;0,52751240;2,58949500
-30,46872592;0,52751240;2,58949500
