Temps;Canal A;Canal B
(ms);(V);(V)

-20,56545516;0,48341320;0,71703240
-20,54497516;0,48341320;0,76189460
-20,52449516;0,48341320;0,76189460
-20,50401516;0,48341320;0,76189460
-20,48353516;0,52751240;0,76189460
-20,46305516;0,52751240;0,80675680
-20,44257516;0,52751240;0,80675680
-20,42209516;0,52751240;0,80675680
-20,40161516;0,52751240;0,80675680
-20,38113516;0,57161170;0,85161900
-20,36065516;0,57161170;0,85161900
-20,34017516;0,57161170;0,89648120
-20,31969516;0,57161170;0,89648120
-20,29921516;0,57161170;0,89648120
-20,27873516;0,61571090;0,89648120
-20,25825516;0,61571090;0,89648120
-20,23777516;0,61571090;0,94134340
-20,21729516;0,61571090;0,94134340
-20,19681516;0,65981020;0,94134340
-20,17633516;0,65981020;0,94134340
-20,15585516;0,65981020;0,98605300
-20,13537516;0,65981020;0,98605300
-20,11489516;0,65981020;0,98605300
-20,09441516;0,70390940;0,98605300
-20,07393516;0,65981020;1,03091500
-20,05345516;0,70390940;1,03091500
-20,03297516;0,70390940;1,03091500
-20,01249516;0,70390940;1,07577700
-19,99201516;0,70390940;1,07577700
-19,97153516;0,74816130;1,12064000
-19,95105516;0,74816130;1,12064000
-19,93057516;0,74816130;1,12064000
-19,91009516;0,74816130;1,12064000
-19,88961516;0,74816130;1,12064000
-19,86913516;0,79226050;1,16550200
-19,84865516;0,79226050;1,16550200
-19,82817516;0,79226050;1,16550200
-19,80769516;0,79226050;1,21021200
-19,78721516;0,79226050;1,21021200
-19,76673516;0,83635970;1,21021200
-19,74625516;0,79226050;1,21021200
-19,72577516;0,83635970;1,25507400
-19,70529516;0,83635970;1,25507400
-19,68481516;0,83635970;1,25507400
-19,66433516;0,83635970;1,25507400
-19,64385516;0,88045900;1,29993600
-19,62337516;0,88045900;1,29993600
-19,60289516;0,88045900;1,29993600
-19,58241516;0,88045900;1,29993600
-19,56193516;0,88045900;1,34479800
-19,54145516;0,92455820;1,34479800
-19,52097516;0,92455820;1,34479800
-19,50049516;0,92455820;1,34479800
-19,48001516;0,92455820;1,38966000
-19,45953516;0,92455820;1,38966000
-19,43905516;0,92455820;1,43437000
-19,41857516;0,92455820;1,43437000
-19,39809516;0,92455820;1,43437000
